url,category,comment,hate_towards_whom,label
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,you cannot mix Wild Chimps into the general population,Community,yes
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,there is no way to mix wild chimps with the general population,Community,yes
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,there's no way to mix wild chimps with the general population,Community,yes
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,you can't mix wild chimps with the general population,Community,yes
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,keep white and black separate,Community,yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,"She is probably the only female ""first lady"".",Community,yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,she's probably the only female first lady in history,Community,yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,she's probably the only female first lady,Community,yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,That is like comparing a Ferrari to a garbage truck. Atleast the garbage truck serves a purpose,Individual,yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,it's like comparing a ferrari to a garbage truck,Individual,yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,if you compare a ferrari to a garbage truck then at least the garbage truck serves a purpose,Individual,yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,Wrong it's a man,Individual,yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,I tell you what we went from a first lady that commands respect. To a third-rate bargain-basement social climber who runs around demanding respect like her insisting everybody call her doctor.,Individual,yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,we went from a first lady who commands respect to a third-rate bargain-basement social climber who runs around demanding respect like her and insists that everyone call her doc,Individual,yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,Botox can buy beauty after all,Individual,yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,botox can be good for beauty,Individual,yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,botox can be good for beauty after all?,Individual,yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,"Meanwhile, the Bidens be like ""Better get my good side"", because it is very lacking",Individual,yes
